iter	Passed	Remaining
643	54616	30191
644	54695	30103
645	54792	30025
646	54870	29937
647	54948	29848
648	55020	29756
649	55090	29664
650	55165	29574
651	55237	29482
652	55323	29398
653	55414	29317
654	55487	29226
655	55557	29133
656	55633	29044
657	55731	28966
658	55807	28877
659	55885	28789
660	55956	28697
661	56024	28604
662	56100	28515
663	56172	28424
664	56244	28333
665	56320	28245
666	56394	28154
667	56468	28065
668	56554	27981
669	56636	27895
670	56710	27806
671	56788	27718
672	56860	27627
673	56938	27539
674	57011	27449
675	57084	27359
676	57162	27272
677	57232	27181
678	57305	27091
679	57384	27004
680	57458	26915
681	57533	26826
682	57606	26736
683	57684	26649
684	57760	26561
685	57834	26472
686	57912	26384
687	57981	26293
688	58054	26204
689	58126	26114
690	58214	26032
691	58288	25943
692	58369	25857
693	58439	25767
694	58513	25678
695	58597	25594
696	58667	25503
697	58737	25413
698	58814	25326
699	58899	25242
700	58969	25152
701	59044	25064
702	59117	24975
703	59189	24886
704	59261	24797
705	59332	24708
706	59408	24620
707	59489	24535
708	59561	24446
709	59634	24357
710	59709	24270
711	59785	24182
712	59867	24098
713	59955	24015
714	60030	23928
715	60104	23840
716	60178	23752
717	60250	23663
718	60323	23575
719	60406	23491
720	60477	23402
721	60549	23314
722	60624	23226
723	60695	23138
724	60772	23051
725	60852	22966
726	60930	22880
727	61004	22792
728	61078	22705
729	61149	22616
730	61221	22528
731	61298	22442
732	61376	22356
733	61450	22269
734	61539	22187
735	61607	22098
736	61679	22010
737	61750	21922
738	61823	21834
739	61898	21748
740	61976	21662
741	62067	21581
742	62164	21502
743	62248	21418
744	62341	21338
745	62422	21253
746	62495	21166
747	62574	21081
748	62651	20995
749	62721	20907
750	62796	20820
751	62868	20733
752	62937	20644
753	63013	20558
754	63106	20478
755	63186	20393
756	63281	20313
757	63355	20226
758	63427	20139
759	63503	20053
760	63576	19966
761	63647	19879
762	63719	19792
763	63798	19707
764	63870	19620
765	63942	19533
766	64013	19445
767	64088	19359
768	64161	19273
769	64232	19186
770	64308	19100
771	64380	19014
772	64451	18926
773	64522	18839
774	64601	18755
775	64673	18668
776	64743	18581
777	64820	18496
778	64890	18409
779	65000	18333
780	65100	18254
781	65169	18167
782	65242	18081
783	65351	18005
784	65447	17925
785	65521	17839
786	65600	17754
787	65680	17670
788	65755	17584
789	65833	17499
790	65903	17413
791	65974	17326
792	66061	17244
793	66131	17157
794	66206	17072
795	66290	16988
796	66360	16902
797	66429	16815
798	66502	16729
799	66578	16644
800	66649	16558
801	66726	16473
802	66805	16389
803	66877	16303
804	66950	16217
805	67021	16131
806	67107	16049
807	67182	15964
808	67275	15883
809	67349	15797
810	67422	15712
811	67492	15626
812	67565	15540
813	67640	15455
814	67716	15371
815	67793	15286
816	67887	15206
817	67980	15125
818	68077	15045
819	68158	14961
820	68232	14876
821	68316	14793
822	68395	14709
823	68468	14624
824	68556	14542
825	68632	14457
826	68695	14370
827	68779	14287
828	68870	14206
829	68944	14121
830	69018	14036
831	69088	13950
832	69161	13865
833	69243	13782
834	69318	13697
835	69391	13612
836	69465	13527
837	69537	13442
838	69608	13357
839	69681	13272
840	69753	13187
841	69830	13103
842	69905	13019
843	69976	12934
844	70048	12849
845	70120	12764
846	70191	12679
847	70269	12595
848	70347	12511
849	70417	12426
850	70491	12342
851	70565	12257
852	70632	12172
853	70707	12088
854	70783	12004
855	70854	11919
856	70925	11834
857	71001	11750
858	71122	11674
859	71225	11594
860	71326	11514
861	71417	11433
862	71503	11351
863	71583	11267
864	71665	11184
865	71752	11102
866	71835	11019
867	71924	10937
868	72014	10856
869	72112	10775
870	72220	10696
871	72329	10617
872	72400	10532
873	72475	10448
874	72552	10364
875	72623	10280
876	72702	10196
877	72788	10114
878	72886	10033
879	72970	9950
880	73050	9867
881	73133	9784
882	73220	9701
883	73307	9619
884	73412	9539
885	73517	9459
886	73603	9376
887	73695	9294
888	73775	9211
889	73885	9131
890	73975	9049
891	74055	8966
892	74131	8882
893	74209	8798
894	74292	8715
895	74380	8633
896	74455	8549
897	74533	8465
898	74606	8381
899	74682	8298
900	74756	8214
901	74843	8131
902	74914	8047
903	74984	7962
904	75065	7879
905	75142	7796
906	75215	7712
907	75288	7628
908	75374	7545
909	75519	7468
910	75622	7387
911	75725	7306
912	75831	7225
913	75934	7144
914	76022	7062
915	76149	6983
916	76245	6901
917	76345	6819
918	76450	6738
919	76542	6655
920	76639	6573
921	76747	6492
922	76859	6411
923	76980	6331
924	77083	6250
925	77194	6168
926	77297	6087
927	77396	6004
928	77504	5923
929	77595	5840
930	77699	5758
931	77799	5676
932	77880	5592
933	77977	5510
934	78090	5428
935	78163	5344
936	78233	5260
937	78308	5176
938	78380	5091
939	78451	5007
940	78567	4926
941	78698	4845
942	78808	4763
943	78928	4682
944	79001	4597
945	79110	4515
946	79207	4432
947	79310	4350
948	79398	4266
949	79474	4182
950	79545	4098
951	79620	4014
952	79690	3930
953	79758	3845
954	79830	3761
955	79901	3677
956	79996	3594
957	80123	3512
958	80262	3431
959	80376	3349
960	80504	3267
961	80624	3184
962	80731	3101
963	80846	3019
964	80957	2936
965	81058	2852
966	81177	2770
967	81265	2686
968	81356	2602
969	81465	2519
970	81552	2435
971	81635	2351
972	81720	2267
973	81801	2183
974	81888	2099
975	81966	2015
976	82045	1931
977	82126	1847
978	82200	1763
979	82296	1679
980	82410	1596
981	82511	1512
982	82601	1428
983	82678	1344
984	82760	1260
985	82848	1176
986	82931	1092
987	83004	1008
988	83079	924
989	83165	840
990	83252	756
991	83331	672
992	83403	587
993	83492	503
994	83561	419
995	83633	335
996	83705	251
997	83776	167
998	83845	83
999	83918	0
